name|rating|number_of_photos|message
Maria Moura|||·1 foto 7 anos atrás Tudo bom  /
Rodolfo Monteiro Renó|||·1 foto 5 anos atrás Tem muita variedade
Ana Paula Cunha||5|6 anos atrás Cordialidade dos atendentes em alta!  /
Fabiana Miranda||2|7 anos atrás Muito bom  /
Fernando Silva|||7 anos atrás Muito bom  /
José Ricardo Alvo||74|4 anos atrás Café nada especial  /
Carmelita Farias|||7 anos atrás Muito bom  /
Antonio Carlos dos Santos||130|5 anos atrás Produtos de qualidade e atendimento.
Edson Koiti Saito||455|5 anos atrás Excelente massa folhada.  /
Tina Izaguirre Villaça|||·1 foto 7 anos atrás Coxa Creme deliciosa!  /
Francisco Felice|||8 anos atrás Melhor cafeteria de SP  /
Rodrigo Pastore|||7 anos atrás Serviço atrapalhado, comida de qualidade  /
Bento Neto|||·1 foto 5 anos atrás Saborosos capuccino e sorvetes
Victor Roque Guglielmi||121|Editado 7 anos atrás Adoro os salgados e os doces  /
Leni Sabino Ramalho Okada||17|um ano atrás Coisas saborosas!  /
Marcia Regina Silva|||4 anos atrás Ótimo atendimento e serviço de qualidade.
Nissim Corretor||23|8 anos atrás Tudo sempre fresquinho.  /
Carlos Crescente||2|um ano atrás Produtos excelentes  /
Celso Silva||206|4 anos atrás Doces e salgados deliciosos!  /
Sandra Moreno||28|6 anos atrás Delicia, TD de bom  /
Julio Arantes||36|5 anos atrás Produtos de boa qualidade.  /
Sylvia Novaes||228|Editado 7 anos atrás Bonito. Simples.  /
Elvira Schuartz||5|8 anos atrás Pao de queijo delicioso  /
Tatiana Alves|||3 anos atrás Adorei lugar muito simpático  /
marcia katayama|||3 anos atrás Muito boa  /
Sergio Augusto Portela||2|8 anos atrás Tradição e qualidade imbatíveis.  /
Adriana Barbosa|||8 anos atrás Café e sobremesas deliciosas.  /
MÁRCIA BRITO||37|7 anos atrás Adoro as opções diets...  /
Cristiana Janson||300|Editado 7 anos atrás Capucino com torta mil folhas  /
Malu Pesquisa||11|4 anos atrás Ambiente muito bom  /
Marcos Roberto Bartok||140|5 anos atrás Nota 10  /
Elio Micheloni||37|5 anos atrás Ja foi bem  /
Milton Ray Junior||21|7 anos atrás Lugar 10  /
Ricardo Müllenmeister||29|8 anos atrás Uma delícia como sempre!  /
Sergio Nieri Barillari||18|8 anos atrás Doces e mesas na calçada  /
Aldo Roggers de Oliveira Junior||26|8 anos atrás Bom, mas caro  /
Karen Rejowski|||4 anos atrás Atendimento e produtos excelentes !  /
Cristina M. Ots.||74|5 anos atrás Ótimas opções zero!
Luiz||30|5 anos atrás Uma das melhores docerias de SP
Rita De Cassia Antunes Sperandeo|||6 anos atrás Doces e salgados mara!  /
Monica Wright||122|6 anos atrás Sempre uma delícia!  /
Antonio Sergio Petrocchi||3|7 anos atrás Muito boa  /
Denise Del Pozzo Silva||2|2 anos atrás Demora no atendimento  /
Gabriela Durso|||3 anos atrás Delicioso, atendimento ótimo  /
Marlene Miglioli|||7 anos atrás Muito gostosa.  /
Fernando Luiz Vaz dos Santos||11|6 anos atrás Sempre agradável.  /
Vitor de Paula Silva||4|4 anos atrás Sempre uma delícia.  /
Ademir luiz dos santos||4|4 anos atrás Muitas delícias  /
Ailton Gonçalves||129|7 anos atrás ótima. aconchegante. amplo.  /
Dennys Takao||8|4 anos atrás Atendentes muito atenciosos!  /
Alonso Marinone|||7 anos atrás Continua muito boa .  /
pedro py||63|7 anos atrás Produtos doces de 1°  /
Rubens Migliaccio||4|8 anos atrás Ótimos doces  /
Gizelle Brito||318|7 anos atrás Tudo feito no capricho!  /
Lucas Sousa|||5 anos atrás Um lugar calmo bom
Fernando Messias||280|7 anos atrás Amo os salgados da offner  /
Fuad Haddad|||8 anos atrás Caaaro mas gostoso ...  /
Jair Carolino dos Santos||7|4 anos atrás 🤩  /
Isabel Ferro|||6 anos atrás Salgados e Doces deliciosos  /
SHIRLEY GOLDBACH||174|7 anos atrás Chegamos no final do expediente.  /
Renato DElia||52|7 anos atrás Preços muito caros  /
Camila Diniz||8|um ano atrás Pessimo atendimento. 🙏1  /
Dr Luiz Schuchmann||6|5 anos atrás excelente doceria
Nisard Ferraz de Negreiros Filho||1323|Editado 3 anos atrás Ótima. Continua ótima.  /
Carolina Godoy|||2 anos atrás Sujo e péssimo atendimento  /
Enrique Araujo till Junior (frekaz)||123|9 anos atrás O café é ótimo 🙏1  /
Wanderlei Braghin|||2 anos atrás Não estive lá  /
Gilberto Braz||9|7 anos atrás Sempre excelente  /
ned ludd||326|6 anos atrás A delícia das delícias!  /
Luisa Bossa|||5 anos atrás Bom mas caro  /
Elidio Frias||7|5 anos atrás Atendimento muito bom!  /
Renato Piccinin||1966|4 anos atrás Café maravilhoso
Jessica da Silva||9|5 anos atrás Muito bom mesmo  /
Renata Pastore|||6 anos atrás Tudo maravilhoso!  /
Mauricio C. Peres||2|2 anos atrás Não estive nesse lugar ! !  /
Wilson Gorgone||12|5 anos atrás O melhor café
Jéssica Luana S. Vasconcelos||14|5 anos atrás Ligar cheio de delícias
Alexander Victor||40|6 anos atrás Ótimo atendimento. Recomendo.  /
Percio Diogo||2|Editado 6 anos atrás Ótimo!  /
Renato Grandini||15|8 anos atrás Esse lugar é encantador...  /
Luis Carlos Cavanha|||7 anos atrás Melhor lugar para um café  /
Luiz Pomarole|||4 anos atrás Variedade e boa localização  /
Guilherme. Tell||136|6 anos atrás Agradável de fazer uma pausa.  /
Luciana Garrido|||um ano atrás Atendimento excelente  /
adilson jorge pereira||2|5 anos atrás Pacaembú é um lugar maravilhoso  /
Wanda Regina Sanches||3|4 anos atrás Otimo .  /
Helena Drago||24|Editado 8 anos atrás Amo o café.  /
Katia Gallo||86|5 anos atrás Lugar delicioso!!!
Contato - Adv Rebouças||29|4 anos atrás Delícia.  /
Tereza Verardo|||Editado 6 anos atrás Muito bom e muito caro  /
Sergio Bruni||10|4 anos atrás Sou fã da Ofner
Chila Original||77|8 anos atrás Achei um ótimo atendimento.  /
Egivaldo Araujo|||·1 foto 5 anos atrás Lugar delicioso!!!
Pedro Pompeu|||2 anos atrás Salgados deliciosos!  /
Juliano Jr|||6 anos atrás Foi maravilhoso  /
Rodrigo Domingues||45|6 anos atrás Quem conhece entende as 5 estrelas !!!!!  /
Alda Regina Batista Molina||75|7 anos atrás Adoro!!  /
Ignacio Grabovsky|||8 anos atrás Sobremesas e café de primeira  /
Raquel Meneses Silva Cardoso||91|5 anos atrás Amooooo!!
Cleber Silva||298|8 anos atrás Ótimo!  /
Delacir3 Poloni|||·1 foto 7 anos atrás Otima!  /
Julia Nogueira|||·1 foto 8 anos atrás Doces maravilhosos  /
Helio Reis||16|6 anos atrás Muitas gostosuras.  /
Bernardo FG||143|8 anos atrás Sofisticado, porem altos preços.  /
Maria Madalena de Souza|||·1 foto 7 anos atrás Adoro o capuccino.  /
Jefferson Izael|||4 anos atrás Excelente loja
Lourenco Stelio Rega||2062|8 anos atrás Excelentes produtos  /
Maria Camila Gaio||232|5 anos atrás Amo de paixão!  /
Henrique Lambert||6|6 anos atrás Ótimo café  /
Anibal Marone||5|4 anos atrás Doces deliciosos  /
Fernando Atique||130|5 anos atrás É chique
Luciana Campestre||5|7 anos atrás Simplesmente Maravilhoso!!!  /
Giovani Rossi||96|9 anos atrás Doces deliciosos.  /
Enovinhos Enovinhos|||5 anos atrás Gostoso, charmoso, atencioso, $$$
Cassiano Rossi|||Editado 7 anos atrás A melhor de SP !!  /
Samuel Faria|||7 anos atrás Muito boa.  /
renato scheibel||260|6 anos atrás Sempre bom  /
Luiz Augusto Silva||215|Editado 7 anos atrás Muito boa.  /
sandro sacca||4|4 anos atrás Otima variedade  /
Marco Dondi|||5 anos atrás Refinado e saboroso, hi.
Vicente Michel||59|4 anos atrás Ótima para um café  /
Mauricio Kaminker|||7 anos atrás Sempre bom  /
Raúl Carbonari||8|4 anos atrás Produtos ótimos  /
antonio bach|||·1 foto 4 anos atrás Sempre boa.
Grazi Gracie||43|4 anos atrás Amoooo este lugar
Marcello Morsello||37|5 anos atrás Doces sensacionais.
Danilo Araujo||5|8 anos atrás Atendimento mt bom  /
Flavio Gomes||85|Editado 5 anos atrás Atendimento excelente!  /
Cristina Oliveira|||·1 foto 7 anos atrás Apfelstrudel maravilhoso!  /
Luis Fernando Giraldi Nery|||8 anos atrás Sofisticado e de alta qualidade  /
Tais Barbosa||23|Editado 8 anos atrás Muito aconchegante!  /
monique nardini||119|8 anos atrás Loja pequena e aconchegante  /
eduardo de castro||22|4 anos atrás Ótimo atendimento!
marta zorz|||4 anos atrás Ótimo e caro  /
Laura Caroline Repanas Compagno||994|7 anos atrás Igual a toda Ofner.  /
Andrea Oliveira|||2 anos atrás Atendimento excelente  /
Gleydson23 Husty||4|4 anos atrás Boa padaria 🙏1
Rafael Garuzi|||5 anos atrás Lugar Top!
PROF. GOELDI|||7 anos atrás Antiga, confiável e profissional  /
Ricardo Minervino Bispo||12|8 anos atrás Muito bom!  /
Gleici Cristiane Zerbinatti||76|8 anos atrás Demorou a atender. 🙏1  /
Hélio de Faria Merheb Jr||1042|8 anos atrás Doces fantásticos  /
Fernando Martins||165|4 anos atrás Sabor e glamour.  /
Fernando Tomas||32|8 anos atrás Muito gostoso  /
Rafael Tascone||14|3 anos atrás Muito bom.  /
Dan S.||37|5 anos atrás Atendimento excelente.
Mari Ouchida||298|8 anos atrás Café ótimo  /
Plinio Soares|||5 anos atrás Chocolates maravilhosos
Gilberto||7|7 anos atrás Excelente qualidade  /
Ilana Marion|||4 anos atrás Gosto  /
Ggg Ssd|||3 anos atrás Ótimo atendimento  /
Gilmar Rodrigues De Freitas||187|5 anos atrás Atendimento muito bom
Orlando Giorgi Junior||1282|4 anos atrás Amei  /
Fernando Carvalho|||5 anos atrás Da pra melhorar!!  /
martha Senatore|||4 anos atrás Adoro  /
Walter Streicher||813|4 anos atrás Bom  /
vanderlei Fiedler||2|4 anos atrás Delícias  /
Catarina Sartori||6|7 anos atrás Excelente atendimento.  /
Fabricio Signori||184|5 anos atrás Espaço
Benedito Abreu Almeida||7|7 anos atrás Excelente  /
Irineu Bittar|||5 anos atrás Difícil estacionamento  /
Carlos Alberto Arcos Sanchez|||·1 foto 5 anos atrás Salgados maravilhosos
Luiza Salome||85|5 anos atrás Excelente  /
Mauro Zolko|||5 anos atrás Gostei  /
Elton M. Batista||2|5 anos atrás Ótimo
Lolo Foz|||Editado 7 anos atrás Ótima  /
Ednea Lopes|||·1 foto 7 anos atrás Amo  /
jaqueline assis|||7 anos atrás Adoro  /
Desopilandamente wow||36|7 anos atrás Bom  /
Regisl L|||5 anos atrás Bacana
Debora Luque||3|5 anos atrás Delícia  /
solange aparecida de freitas||187|6 anos atrás Amei  /
Talita Saldanha|||7 anos atrás Excelente  /
Camila Marighetti||3|4 anos atrás Atendimento péssimo!  /
Deisy Loenço Lorenço|||7 anos atrás Ótima  /
aqui tem de tudo aqui tem de tudo||12|5 anos atrás ÓTIMO
Alexandra Gonçalves Souza|||·1 foto 7 anos atrás Atendimento ótimo.  /
dijanira carneiro||3|5 anos atrás Bom  /
FERNANDA SENA|||5 anos atrás Amei
silvia renata rodrigues belem oliva||2|6 anos atrás Ótima  /
shen ribeiro|||6 anos atrás Bom  /
Marcus Vinicius de Carvalho Grande||80|7 anos atrás Bom  /
Marcão p (Marco preto)||6|5 anos atrás bom  /
Dênis Cantagalli||83|6 anos atrás Bom  /
Marcelo GG Regatieri|||·1 foto 4 anos atrás Esperava mais.  /
ALEX SOUZA BATISTA||82|7 anos atrás Bom  /
Valeria Gragnani|||Editado 8 anos atrás Gosto muito do atendimento  /
Paulo Viscardi|||6 anos atrás Ótimo  /
Vivian Kijner||2|5 anos atrás Adoro
Marisa Amaral||2|7 anos atrás Ótimo  /
carlos cardoso||36|4 anos atrás Muito caro  /
Lazaro Antonio da Silva||2|8 anos atrás Muito caro  /
Marco Antonio Bitelli Silva||16|7 anos atrás Bom  /
Denise Bonutti||6|6 anos atrás AMEI  /
Sergio Vlogs||2|4 anos atrás Bom e rapido
Ilca Vargas|||7 anos atrás Otima  /
rfZZ 788||10|7 anos atrás Lugar aconchegante!  /
Norton Zanella||61|8 anos atrás Bacana  /
Denise Samama||81|8 anos atrás Delicia  /
Victor Magnani|||7 anos atrás Difícil de estacionar  /
George Tadeu Araujo||212|8 anos atrás Café  /
Diva Lima|||7 anos atrás Maravilhosa!  /
Reinaldo MotoX|||8 anos atrás Qualidade  /
José Oliveira (Jota)||2|5 anos atrás Atendentes atenciosos!!
Altieres Lima da Silva|||8 anos atrás Muito caro  /
María Inês Francoh|||8 anos atrás Gosto muito  /
Victor Hugo Carneiro||13|8 anos atrás Atendimento excelente  /
sergio domingues||2|4 anos atrás Bons produtos  /
mota kotler||140|7 anos atrás Bons doces  /
Michele Montone||46|4 anos atrás Lugar calmo.  /
Fernando Gelbcke||830|6 anos atrás Excelente!!  /
Paulo Aguiar||42|7 anos atrás Ótimo atendimento  /
Gil s||47|5 anos atrás Bons produtos
Sérgio Vischi||146|8 anos atrás Ótimo atendimento  /
Gisele Miranda||8|5 anos atrás Lugar incrívellll
Henrique Mancuzo||6|5 anos atrás Oha que lugar hein  /
Vivian Z||89|4 anos atrás Comida deliciosa.  /
Edison Carmagnani|||2 anos atrás Excelente.  /
Bruna Campos|||8 anos atrás Tudo de bom  /
Josefina Savio|||6 anos atrás Boa  /
Alfredo Silva|||·1 foto 7 anos atrás Caro  /
Eduardo Gomes||55|7 anos atrás Muito legal  /
Marta Lira|||·1 foto 8 anos atrás Maravilhosa.....  /
Dulce Ignes|||·1 foto 2 anos atrás Amooooo!!!!!  /
Mario Machado||63|7 anos atrás Bom lugar.  /
Alexandre Da Cunha Miranda||5|8 anos atrás Atendimento péssimo  /
Renato Corrêa|||7 anos atrás Ótimo lugar  /
Ricardo Dutra R Pereira||5|7 anos atrás Caro  /
Damiao Lau|||2 anos atrás Lugares chique  /
Alex Mendes||4|5 anos atrás É especial
Jacy Muniz|||·1 foto 7 anos atrás Hummm demais  /
Elena Marra|||4 anos atrás Atendimento maravilhoso
Vittorio Casiraghi||2|7 anos atrás Boa e cara  /
Tadeu Antonio Salles|||8 anos atrás Boa comida  /
JOSE CHEHEBAR||161|7 anos atrás Péssimo atendimento  /
Roberto Wagner||11|Editado 7 anos atrás Vale a visita  /
Claudio Bettini|||7 anos atrás Vale a visita  /
Walkiria Ugolini||2|5 anos atrás Maravilhosos!
E C||172|6 anos atrás Excelente ....  /
Luiz Antonio Marchese Arrivabene||236|Editado 8 anos atrás Doces tentadores  /
Francisca Castellani|||·1 foto 7 anos atrás Chocolate 10  /
Rosangela DV||36|8 anos atrás Ofner é sempre Ofner  /
Rodrigo Ribeiro||213|4 anos atrás Nada de mais  /
Edson Santos||204|7 anos atrás Fantástica.  /
lele Alexandre||8|Editado 8 anos atrás Nada a declara  /
Suely Kawabata|||5 anos atrás Maravilhoso  /
Magno Amaral||1499|6 anos atrás Espetáculo!  /
lucia oliveira|||6 anos atrás Maravilhosa  /
Eduardo Prado||9|5 anos atrás É a Ofner...  /
Alexandre Jun Zerbini Ueda|||·1 foto 7 anos atrás Poderosíssimo  /
Oscimar Sofia||45|5 anos atrás Com amigos  /
Lenir De Miranda||24|6 anos atrás Fantástica  /
Ederson Machado||4|5 anos atrás Fantástica  /
Edson Santiago|||·1 foto 4 anos atrás Aconchegante  /
Agenor Santos|||·1 foto 5 anos atrás Aconchegante  /
Lochdochart||2|7 anos atrás Muitos Ofners em áreas nobres da cidade. Agradável e limpo, mas os preços são exorbitantes. Comprei um bolo de aniversário de última hora esperando pagar cerca de 70 reais. O preço - 130 - me surpreendeu e estragou a festa. Certamente não valia esse preço. Doces e bolos ainda mais modestos são absurdamente caros. Traduzido pelo Google·Mostrar original (inglês)  /
Jeff Green||94|4 anos atrás Bom atendimento, produtos acima da média. Preço um pouco acima do mercado. Traduzido pelo Google·Mostrar original (inglês) 🙏2  /
Pedro DAndrea||7|8 anos atrás Doces deliciosos, mas uma experiência incrível requer dinheiro Traduzido pelo Google·Mostrar original (inglês)  /
Viviane Sbrana||20|4 meses atrás  /
Bruno Lima||59|7 anos atrás A comida é boa, mas o preço... Traduzido pelo Google·Mostrar original (inglês)  /
Matheus Santos||4|Editado 7 anos atrás  /
Daniel Barna||8|8 anos atrás É bom sentar perto da calçada e tomar um café Traduzido pelo Google·Mostrar original (inglês)  /
Marcos Salomão||16|7 anos atrás Lugar muito agradável, mas muito caro. Traduzido pelo Google·Mostrar original (inglês)  /
Michael Howard (michaelhoward)||38|um ano atrás Ótimo! Traduzido pelo Google·Mostrar original (inglês)  /
Filipe Franco||97|9 anos atrás Caro... Relâmpago é bom. Traduzido pelo Google·Mostrar original (francês)  /
David Rotenberg||234|6 anos atrás Caro, mas ótimo café. Traduzido pelo Google·Mostrar original (inglês)  /
Luis Ernesto Robles (LuE)||77|8 anos atrás Padaria, confortável com Wifi Traduzido pelo Google·Mostrar original (espanhol)  /
Joyse Medeiros|||"10 anos atrás Este lugar é legal."" Traduzido pelo Google·Mostrar original (espanhol)  /"
Christian Benseler||122|4 anos atrás  /
Conrado GF||308|8 anos atrás Chocolate... mmmmmm. Traduzido pelo Google·Mostrar original (inglês)  /
Neide Alves|||5 anos atrás Principal Traduzido pelo Google·Mostrar original (inglês)  /
cesar lima alves (sezar)||55|4 anos atrás Principal Traduzido pelo Google·Mostrar original (inglês)  /
Luiz Cypriano||343|8 anos atrás EXCELENTE CHOCOLATE  /
Renato Grandini||2|5 anos atrás Bom Traduzido pelo Google·Mostrar original (inglês)  /
Soter Padua||73|8 anos atrás Querido Traduzido pelo Google·Mostrar original (italiano)  /
jeff green||363|4 anos atrás Bom serviço. Traduzido pelo Google·Mostrar original (inglês) 🙏1  /
Claudio Fernando Smolarsky|5.0/5|38|8 meses atrás Refeição no local  /  Outro  /  R$ 40–60 Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5 Pratos recomendados Tortinha de Morango, Coxa Creme, Quiche, Empada de Palmito, Bolo de Gianduia, Mil Folhas Com Café Expresso e Croissant Chocolate Gelado  /
maria funcia|5.0/5||10 meses atrás Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5  /
Silas Gubitoso||15|8 anos atrás Às vezes Traduzido pelo Google·Mostrar original (inglês)  /
Patrick Theys|5.0/5|111|Editado um ano atrás Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5  /
Claudia Abbondanza|4.0/5|10|um ano atrás Refeição no local  /  Outro Comida: 4/5  /  Serviço: 4/5  /  Ambiente: 4/5  /
Kelly Priscilla Notari|5.0/5||·1 foto um ano atrás Refeição no local Comida: 5/5  /  Serviço: 5/5  /  Ambiente: 5/5  /
ALDO CEFALONI||696|4 anos atrás Queridíssimo Traduzido pelo Google·Mostrar original (latim)  /
ana cristina flandoli romeiro|||uma semana atrás NOVA  /
jamile|||2 semanas atrás NOVA  /
Leeh Perucci|||3 meses atrás  /
Olga Aguilar Santana|||·1 foto 11 meses atrás  /
Vicente Colombo|||um ano atrás  /
Julio Cesar Vieira Gomes|||um ano atrás  /
Cha H.||5|um ano atrás  /
Marco M F E - G 6 ZL||4|um ano atrás  /  Davi Magalhães Almeida Local Guide 2 anos atrás  /
andre padilla||84|2 anos atrás  /
Angela Da Silva Santos||19|2 anos atrás  /
Laura Gomes De Oliveira|||·1 foto 2 anos atrás  /
Luiz Antonio Dias Batista||168|2 anos atrás  /
Vera Lucia Da Silva|||2 anos atrás  /
LUIZ AUGUSTO FONSECA||288|2 anos atrás  /
Adriana Broisler Sucena||33|2 anos atrás  /
Oriana Ortiz||15|2 anos atrás  /
Tânia Forte Andreazza|||3 anos atrás  /
David de Mattos Merizio||16|3 anos atrás  /
Glaucia||2|3 anos atrás  /
Lucas Moucachen||55|3 anos atrás  /
Gabriel Carlos Paiva||3|3 anos atrás  /
Henrique de Souza|||4 anos atrás  /  Giuliana Santoro joia 4 anos atrás  /  SS D A D D Y 4 anos atrás  /
Cássia Castelhano|||4 anos atrás  /
Camilla Abduch|||4 anos atrás  /
Altair Couto||3|4 anos atrás  /
Cristiano Pieroni||7|4 anos atrás  /
Janio Rodrigues|||4 anos atrás  /  antonilton rodrigues torres 4 anos atrás  /
marcio fernandes||8|4 anos atrás  /
Arthur David Almeida||241|4 anos atrás  /
Lazinho Monteiro Junior|||4 anos atrás  /
Luiz Macedo||250|4 anos atrás  /
Ricardo Szabo|||4 anos atrás  /  Douglas Isaias 4 anos atrás  /
franklin silva|||4 anos atrás  /
Simone Dulce||109|4 anos atrás  /
Adhemar Barros Neto|||4 anos atrás  /
Rosana Dias||2|4 anos atrás  /
Maksuel Rener Vieira Ferreira|||4 anos atrás  /
Victoria Schreiner||99|4 anos atrás  /
꧁༺LᎾBE༻꧂||1621|4 anos atrás  /
M Marciano||293|4 anos atrás  /
MAURO DIAS|||4 anos atrás  /
Paulo Brito||474|4 anos atrás  /
Benilson Lopes Carvalho|||4 anos atrás  /
Pierre Primo Moraes||2|4 anos atrás  /
Doris Soarez|||4 anos atrás  /
Gabriel Sousa||4|4 anos atrás  /
Marcelo Filho||5|4 anos atrás  /
Nemesio das Neves Cordeiro||14|4 anos atrás  /
Sandra Ferreira|||4 anos atrás  /
Vinicius Emidio Dantas|||4 anos atrás  /  Lucca Bimbati 13 fotos 4 anos atrás  /
Adriano Di Martino||11|4 anos atrás  /
Sergio Hacham|||·1 foto 4 anos atrás  /
Maria Beatriz Martins||9|4 anos atrás  /
Flavio P. Guimaraes||185|4 anos atrás  /
Maria Aparecida Vailati||659|4 anos atrás  /
Alessandro Costa||32|5 anos atrás  /
Giuseppi Soares||36|5 anos atrás  /
Paulo Roberto Martins Barreto Roberto||3|5 anos atrás  /
Vitoria Clemente||34|5 anos atrás  /
Douglas Vieira||10|5 anos atrás  /
Eliane Paton|||·1 foto 5 anos atrás  /
Joselaine Cruz||38|5 anos atrás  /
Claudio Geromel||22|5 anos atrás  /
ronycléo sousa||33|5 anos atrás  /
Fernanda Gabriela Geronimo Maistrello|||5 anos atrás  /
Renata Arruda Camargo||20|5 anos atrás  /
Gabriela Mendes de Oliveira|||·1 foto 5 anos atrás  /
R. KING||491|5 anos atrás  /
edson mitihiro|||5 anos atrás  /
Cicerosantos Jesus|||5 anos atrás  /
Maria Olivia Galvani Amoroso||15|5 anos atrás  /
Bruno Saturnino||19|5 anos atrás  /
Marly Nazareth Frigo Consiglio||5|5 anos atrás  /
Alef Kinji|||·1 foto 5 anos atrás  /
Daniel Binotto|||5 anos atrás  /
Anderson Cesar||2|5 anos atrás  /
Patrícia Figueiredo||40|5 anos atrás  /
Paula Fernandes Fernandes|||5 anos atrás  /
Antonio Cunha|||5 anos atrás  /
Romenna Santos||198|5 anos atrás  /
Armando Salvador Menecucci||7|5 anos atrás  /
Helena Loureiro||162|5 anos atrás  /
Daniel MH||37|5 anos atrás  /
Luciano Jesus||124|5 anos atrás  /
Hélio Takahiro Nakae||25|5 anos atrás  /
Edith Wertzner||4|5 anos atrás  /
danielle porta (Dani)||9|5 anos atrás  /
Rogerio Patarra|||5 anos atrás  /
Marcia Brazil||75|5 anos atrás  /
Zenira Laino|||5 anos atrás  /
Carlos Americo Chagas Moraes|||5 anos atrás  /
Jorge Aguiar||12|Editado 5 anos atrás  /
Aracelis Mirabello|||·1 foto 5 anos atrás  /
valiushka torres|||5 anos atrás  /
Carla Espíndola|||5 anos atrás  /
Cristina Saliba|||·1 foto 5 anos atrás  /
Giselle Capuano||44|5 anos atrás  /
Sheila Furgang|||5 anos atrás  /
elvira giora||74|5 anos atrás  /
Antonio Carlos Saboia (Tota)||172|5 anos atrás  /
santo soares|||5 anos atrás  /
Renata Madeo||6|5 anos atrás  /
Eduardo|||5 anos atrás  /
Vicente Palumbo|||5 anos atrás  /
henrique alwan||157|5 anos atrás  /
Alcione Mora Diamante||8|5 anos atrás  /
Thaís Paiva|||5 anos atrás  /
Raphael Karpischek Martinez||10|5 anos atrás  /
Pedro Orrico Boscov (poboscov)||74|5 anos atrás  /
Ricardo F||3|5 anos atrás  /
Valdemir Manoel||81|5 anos atrás  /
Daniela Vasconcellos||13|5 anos atrás  /
Pamela Alves||74|5 anos atrás  /
Jose Carpigiani|||5 anos atrás  /
Vinicio Norio|||·1 foto 5 anos atrás  /
Antonio Alexandre Lima||58|5 anos atrás  /
Aldo Cava|||5 anos atrás  /
Vera Veiga|||5 anos atrás  /
Hussam Dibeh||2|5 anos atrás  /
Tami Y|||5 anos atrás  /
Paul Morato|||5 anos atrás  /
Eduardo Caversan|||5 anos atrás  /
Guilherme Cenzi||34|5 anos atrás  /
Fidel Demarchi||101|5 anos atrás  /
Renata Laurito||2|5 anos atrás  /
CRESO ALONSO MARCHESAN|||5 anos atrás  /
Daniel Ferrante|||·1 foto 5 anos atrás  /
Michel Bercovitch||46|5 anos atrás  /
José Eduardo Ismael Lutti||13|5 anos atrás  /
oPaulo Mendonça||4|5 anos atrás  /
Nardy R Filho|||5 anos atrás  /
Wanderley Fernandes|||5 anos atrás  /
Poloar Ar Condicionado|||5 anos atrás  /  Giselle Carvalho Local Guide·366 fotos 5 anos atrás  /
Beatriz de Andrade|||5 anos atrás  /
Regina Parlatore||58|5 anos atrás  /
Janaina Paiva|||5 anos atrás  /  Samuka Local Guide·115 fotos 5 anos atrás  /
Silena Pereira|||5 anos atrás  /
Fatima M G de A Freitas||62|5 anos atrás  /
Franciele Braga||1029|5 anos atrás  /
Miro Gomes|||5 anos atrás  /
Rógina Pereira||3|5 anos atrás  /
Helia Piedade||15|5 anos atrás  /
Paulo Cesar Togniazzolo|||5 anos atrás  /
Joseane silva||22|5 anos atrás  /
Marcos França||56|5 anos atrás  /
Erika Massafera||6|6 anos atrás  /
Carlos Eduardo Pereira||105|6 anos atrás  /
Rodrigo Prado||12|6 anos atrás  /
vivian casiraghi||2|6 anos atrás  /  Claudio Jorge 6 anos atrás  /
Milton Kravaskí||43|6 anos atrás  /  João Pedro QC 6 anos atrás  /
sylvia Hacker||13|6 anos atrás  /
Juliana Braz|||6 anos atrás  /
Samuel Miguel||10|6 anos atrás  /
Andre Luis Vieira de Souza||191|6 anos atrás  /
Marcia Fatima Nascimento||16|6 anos atrás  /
Guilherme Novaes||277|6 anos atrás  /
Rachel Ahuvia||7|6 anos atrás  /
Márcia Pinheiro|||6 anos atrás  /
Contato Agência 4|||6 anos atrás  /
Adelia Antunes|||6 anos atrás  /
Angelica Passos||2|6 anos atrás  /
Eduardo Sprana G. de Castro|||6 anos atrás  /
Jose Silva Pereira|||6 anos atrás  /
ORM RICCETTO|||6 anos atrás  /
Hernani Souza Vieira|||6 anos atrás  /
Carla Estremes||69|6 anos atrás  /
william Ramos||22|6 anos atrás  /
Ademir Padilha||6|6 anos atrás  /
Marcos José Nascimento Junior||13|6 anos atrás  /
Giuliano Caneppele|||·1 foto 6 anos atrás  /
Guilherme Lopes Matsushita||3221|6 anos atrás  /
Leonardo Claudiano|||6 anos atrás  /
Caio Ceppo||381|6 anos atrás  /
André Bertin|||6 anos atrás  /
Eliana Fugihara Kroes|||·1 foto 6 anos atrás  /
Luiz Everardo Muezerie||56|6 anos atrás  /
Diógenes Paiva Jr.||2|6 anos atrás  /
Mauricio Millor|||6 anos atrás  /
Jr Maffezoli||286|7 anos atrás  /  Siqueira 7 anos atrás  /
Geraldo Toledo||6|7 anos atrás  /
Jayr Silva|||7 anos atrás  /
fer con||343|7 anos atrás  /
Bruno ROCCA|||7 anos atrás  /
Fellipe Portasio|||7 anos atrás  /
Celso Kater||8|7 anos atrás  /
Guilherme Soares||69|7 anos atrás  /
Marcia Kissblue|||·1 foto 7 anos atrás  /
Clara Herrerias|||7 anos atrás  /
BlackBerry BlackBerry||16|7 anos atrás  /
